#name zcmb zhel mb dmb ra dec
05D3kx 0.21938 0.219002 20.8469 0.1023 215.45842 53.137119
05D3lb 0.64739 0.647002 23.6259 0.1613 214.382324 53.167927
05D3lr 0.60038 0.600004 23.4022 0.15455 215.550583 53.184277
05D3mn 0.76039 0.759994 23.92525 0.14995 214.688507 52.323147
05D3mx 0.47039 0.470001 22.804 0.1221 215.537918 52.219177
05D4af 0.49791 0.498998 22.9275 0.13225 334.138092 -18.004923
05D4av 0.50791 0.508995 22.9705 0.1253 333.543945 -17.911943
05D4bf 0.58791 0.588995 23.44375 0.14055 334.109772 -18.232067
05D4bj 0.69992 0.701005 23.77905 0.15635 333.748596 -18.133404
05D4cn 0.76191 0.763 24.05415 0.16035 333.381073 -17.288845
05D4cs 0.78891 0.79 24.1069 0.13815 334.324249 -17.88015
05D4dt 0.40591 0.406998 22.564 0.11045 333.607697 -17.67111
05D4dy 0.80892 0.810004 24.55735 0.16345 333.875488 -18.215502
05D4ej 0.58392 0.585005 23.6081 0.12955 333.968811 -18.195719
05D4ev 0.72091 0.721996 24.0226 0.19335 333.37677 -17.700785
05D4fg 0.83791 0.839001 24.3054 0.1427 334.172272 -17.595461
05D4gw 0.80691 0.808 24.2544 0.1837 333.697327 -17.5319
06D2bk 0.50016 0.499001 23.0505 0.13595 149.678635 2.171984
06D2cc 0.53316 0.532 22.9345 0.1665 149.86203 2.451355
06D2ce 0.82116 0.819997 24.1676 0.18525 150.43425 2.713314
06D2fb 0.12516 0.123998 19.4684 0.10355 149.883942 1.827922
06D2gb 0.44316 0.441996 22.57415 0.1349 150.197586 1.985406
06D3cc 0.68339 0.682999 23.9441 0.2905 214.381668 52.912472
06D3do 0.72639 0.725997 23.90005 0.1628 214.247467 52.882542
06D3ed 0.40439 0.404 22.44625 0.1075 214.699173 52.756557
06D3em 0.69038 0.689995 23.7527 0.18375 214.84758 53.023014
06D3et 0.57639 0.576002 23.2437 0.1229 215.519867 52.338367
06D3gh 0.72039 0.719995 23.87645 0.2029 214.630905 52.442909
06D4bo 0.55091 0.552002 23.16815 0.1249 333.867126 -17.409184
06D4ce 0.8489 0.849995 24.3105 0.16975 334.321869 -17.235937
06D4co 0.43591 0.436997 22.36675 0.109 333.860504 -17.869184
06D4dh 0.30191 0.302999 21.64245 0.0939 333.582062 -17.585009
03D1aw 0.58119 0.581997 23.52355 0.1372 36.061634 -4.517158
03D1bp 0.34621 0.347006 22.11525 0.111 36.657234 -4.838779
03D1fc 0.3312 0.332002 21.7829 0.10685 36.431648 -4.144059
03D3aw 0.44939 0.449003 22.78895 0.14135 215.223053 52.605625
03D3ba 0.2916 0.291199 21.47215 0.12535 214.139297 52.34219
03D3cd 0.46109 0.460698 22.62945 0.13775 214.666367 52.61208
03D4at 0.63291 0.633997 23.66065 0.20445 333.600159 -17.776726
03D4cj 0.26891 0.27 21.1762 0.0993 334.027618 -17.704657
03D4cy 0.92591 0.926997 24.7416 0.1923 333.418396 -17.681641
03D4dh 0.62591 0.627002 23.46015 0.1303 334.379272 -17.629654
03D4dy 0.60891 0.609996 23.3767 0.1266 333.71051 -17.956478
03D4gf 0.57891 0.579997 23.2373 0.13895 333.595551 -17.734032
04D1aj 0.7202 0.720998 23.82525 0.2057 36.474834 -4.99461
04D1de 0.7672 0.767998 24.24705 0.1593 36.64962 -4.422623
04D1hd 0.3682 0.369001 22.24455 0.1019 36.536808 -4.109634
04D1hy 0.8492 0.850006 24.33175 0.14855 36.036224 -4.831071
04D1jd 0.77721 0.778001 24.0942 0.17835 36.961819 -4.94379
04D1kj 0.58421 0.585003 23.2686 0.09915 36.969418 -4.180252
04D1oh 0.5892 0.590005 23.30085 0.13005 36.259838 -4.236187
04D1pc 0.7692 0.769999 24.2078 0.16885 36.603649 -4.3994
04D1pg 0.5142 0.514997 23.12745 0.1329 36.76733 -4.175287
04D1pu 0.63821 0.639003 23.37 0.2329 36.868641 -4.744934
04D1rh 0.43521 0.436004 22.5623 0.1145 36.946449 -4.253765
04D1sa 0.58421 0.585003 23.46355 0.14025 36.983994 -4.176071
04D1sk 0.66259 0.663397 23.74875 0.17955 36.09491 -4.353621
04D2an 0.62116 0.619997 23.4108 0.1628 150.217957 2.04123
04D2fp 0.41616 0.415 22.5154 0.11755 149.867172 2.321014
04D2gb 0.45117 0.450004 22.36265 0.1377 150.594452 1.894161
04D2gp 0.73316 0.732001 24.04855 0.24055 149.834885 2.508879
04D2ja 0.74116 0.739999 24.26275 0.21515 149.702087 1.771737
04D2mc 0.34916 0.347996 21.74 0.12 150.148132 1.784181
04D2mj 0.51416 0.512999 23.18845 0.1355 150.152222 2.577067
04D3cy 0.64339 0.642997 23.60755 0.1943 214.551804 52.658333
04D3df 0.4704 0.470002 22.65205 0.12925 214.541672 52.277687
04D3ez 0.26338 0.262995 21.15515 0.1079 214.782639 53.071949
04D3fq 0.7424 0.742 23.92255 0.19885 214.24118 52.379471
04D3gx 0.91039 0.909997 24.6116 0.16365 215.056946 52.282776
04D3kr 0.3374 0.337001 21.9137 0.10655 214.149719 52.478874
04D3lp 0.98339 0.982999 24.92305 0.1439 214.962112 52.503197
04D3mk 0.81338 0.812997 24.26675 0.14105 214.857346 53.163692
04D3nc 0.8174 0.816998 24.3431 0.12085 214.075912 52.273804
04D3nr 0.96038 0.959998 24.5736 0.1577 215.660446 52.648685
04D3oe 0.75639 0.755999 24.03965 0.1583 214.914093 52.553848
04D4bk 0.87891 0.879995 24.42165 0.14325 333.782104 -18.060274
04D4dm 0.80991 0.811003 24.20795 0.1668 333.856049 -17.245159
04D4fx 0.62791 0.628997 23.4134 0.138 334.158905 -18.066357
04D4hf 0.93491 0.936001 24.7653 0.2009 334.241241 -17.687025
04D4ib 0.69791 0.698997 23.78265 0.16195 334.173798 -18.105089
04D4id 0.76791 0.769004 24.3849 0.17855 334.089172 -17.229027
04D4ii 0.86491 0.866 24.39625 0.15285 333.981812 -17.657478
04D4in 0.51491 0.516002 22.98745 0.11725 333.785736 -17.261028
